File,Columns,Explanation
mdd_v2_synonym_sheet,,"all names applicable to species and subspecies level names; all species level synonyms within the Class Mammalia, which will match that of the online nomenclature database, Hesperomys (hesperomys.com)"
,MDD_syn_ID,unique MDD synonym identification number assigned to each synonym starting from '100000001' and increasing as new synonyms are added
,MDD_species,"the genus and specific epithet of the species that each synonym is assigned with a space between the genus and specific epithet, listed as 'genus incertae_sedis' or 'incertae_sedis incertae_sedis' if a specific name is not assigned to a species, specifically for nomen dubia, nomen inquirenda, and names with type material of composite or hybrid origin"
,MDD_root_name,"the specific epithet to be used as a root to form a valid taxon name from this name; the spelling of the name will be changed to match the generic gender if an adjective, or a name will be Latinized if initially written with non-Latin characters"
,MDD_author,"author last name(s) that first described the species, following typical guidelines for format with specifics listed here; all authors on the author line of the publication in which the species is described are included; a comma is presented after the second to last name if there are more than two authors (e.g., S. E. Pavan, Mendes-Oliveira, & Voss); if the volume was described in a book or journal article with a differing set of editors/authors in the author line, an 'in' statement is used after the initial authors, followed by the editors/authors of the primary text (e.g., D. J. Kitchener in D. J. Kitchener & Maryanto); when two authors share the same surname, the initials are added before the surname in both cases, and if they share the same initials, then the middle name is also written out (e.g. J. A. Allen and G. M. Allen); for names of Chinese, Korean, and Indochinese origin, the full name is writen out with the suriname put first and hyphens removed to match the format typically given in Chinese publication (e.g., Kuo Haochih, Fang Yinping, Csorba, & Lee Lingling)"
,MDD_year,year that author first described the species based on the original description
,MDD_authority_parentheses,0 for no parentheses around authority; 1 for parentheses around authority; values are based on the genus the species was included under in the original name combination as compared to the current genus name
,MDD_nomenclature_status,"the nomenclatural status of the name based on the ICZN Code; this columen will list if the name is avialable, whether it is a spelling variant or name combination, or the specific reason a name is unavailable (see Nomenclature_Taxonomy_Metadata for specific listing definitions)"
,MDD_validity,"the taxonomic status of the name based on the ICZN Code and primary literature; this column lists whether the name is a valid species or subspecies, or if the name is nomen dubium, nomen inquirendum, or if the name is based on type material of composite or hybrid origin (see Nomenclature_Taxonomy_Metadata for specific listing definitions)"
,MDD_original_combination,the original name combination as presented in the publication referenced in the citation related column; the full name of each part of the scientific name is included even if the name was initially abbreviated in the original description
,MDD_original_rank,"the taxonomic rank the name was first described as, including species, subspecies, form, variety, infrasubspecific, unranked, synonym, and other"
,MDD_authority_citation,"the full APA citation of the original description citation of the name, including the specific month and day of publication after the year if known; this field is only filled out when the MDD team has verified the citation by acquiring a PDF of physical copy of the text"
,MDD_unchecked_authority_citation,the original description citation of the name that has not been verified yet; these citations are not in a standardized format and may be abbreviated based on the formating of the source material including the citation (often regional and global taxonomic compendia); this field will include an 'NA' once the MDD_authority_citation field is filled
,MDD_sourced_unverified_citations,same as the MDD_unchecked_authority_citation but includes the sources where the citation was sourced from; kept as a reference for the MDD team when looking for citation information and links
,MDD_citation_group,the journal or city of publication (for books) that an original description citation was published in; this is primarily used as a reference for the MDD team when looking for citation information and links
,MDD_citation_kind,"whether the MDD team has a physical, electronic, or no copy of a original description citation; this is primarily used as a reference for the MDD team when looking for citation information and links"
,MDD_authority_page,"the page number that the scientific name first appears in the original description citation; there are many niche situations which involve listing the page number in different ways, such as the name first appearing in a footnote, no page numbers in the text, or the name appear on a figure or plate, which is demarked in straightforward fashion in the sheet, generally in parentheses"
,MDD_authority_link,"a link to an online copy of the original description of the name; for older publications this is generally to the Biodiversity Heritage Library or other publication archives, with newer publications having a DOI linking directly to the journal website"
,MDD_authority_page_link,"a link to the first page the name was used in an online copy of the original description of the name; this is usually only applicable to names found on the Biodiversity Heritage Library, Hathitrust, Gallica, or the Internet Archive"
,MDD_unchecked_authority_page_link,"for citation page links found programmatically on the Biodiversity Heritage Library that were not able to be checked for the inclusion the name programmatically using an OCRed version of the text, the links are put here for manual verification; multiple links may be separated with a pipe |"
,MDD_old_type_locality,the type locality (particularly for the names of valid species) that appeared in the original type locality field of the MDD synonym sheet before matching to Hesperomys; this is primarily kept for reference to the MDD team and is not to be used otherwise
,MDD_original_type_locality,the verbatim type locality from the original description citation text that has been verified by the MDD team; names where a type locality is not applicable have this field empty
,MDD_unchecked_type_locality,"the verbatim type locality from other non-original descrpition sources, the sources of which are listed after the type locality, with multiple type localities from different sources separated by pipes |; names where a type locality is not applicable have this field empty"
,MDD_emended_type_locality,"the verbatim emended type locality from sources making a type locality restriction, emendation, or declaration, followed by the reference making the decision; this field is currently empty and will be curated at a later date; names where a type locality is not applicable have this field empty"
,MDD_type_latitude,"geographic locality of the type specimen, latitude in decimal degrees; sourced initial from the original description of the name of by georeferencing the name through web searches of the locality, or by using geolocation web services, such as GeoLocate; names where a type locality is not applicable have this field empty"
,MDD_type_longitude,"geographic locality of the type specimen, longitude in decimal degrees; sourced initial from the original description of the name of by georeferencing the name through web searches of the locality, or by using geolocation web services, such as GeoLocate; names where a type locality is not applicable have this field empty"
,MDD_type_country,"the modern country that the type locality of a name falls into, see Distribution_List for list of countries used in this field; names where a type locality is not applicable have this field empty"
,MDD_type_subregion,"the modern subregion within the country that the type locality of a name falls into, including states, provinces, territories, and islands/island groups for larger countries, see Distribution_List for list of countries used in this field; names where a type locality is not applicable have this field empty"
,MDD_type_subregion2,"for some countries, a further subregion within the subregion specified by the MDD_type_subregion column; primarily includes counties in the United States and individual islands in some archipelagoes"
,MDD_holotype,"museum number of the type series; this data is gleaned from museum databases or the original describing publication; this field specifically includes holotypes, syntypes, lectotypes, and neotypes, with multiple syntypes separated by commas being included when applicable; this and the typeKind field are blank when no type material has been verified by the MDD, but if there is verifiably no type material for a name, this field is left blank but the typeKind field includes the label 'nonexistent'"
,MDD_type_kind,"the specific kind of type specimen listed in the typeVoucher column; populated with holotype, syntypes, lectotype, neotype, and nonexistent; this field is left blank if the existence of type material for this species hasn't been verified, but if the MDD team has verified that there is no existing type material for this species, this field is labeled with 'nonexistent'"
